axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
11039249,0.00419,1,Kenji666,0.00419,0.00000,0
9402080,0.00429,4,Loieky | ZxC ,0.00429,0.00000,0
11076803,0.00477,3,VG | JvZ.23Svg,0.00477,0.00000,0
10286207,0.00480,3,FB: Cart Joseph Andal | PM me for Offers,0.00480,0.00000,0
10536670,0.00490,3,Ivan,0.00490,0.00000,0
11266192,0.00495,1,CV.Crety,0.00495,0.00000,0
9402743,0.00500,4,palapequi,0.00500,0.00000,0
10908978,0.00500,4,Illenium | HxR,0.00500,0.00000,0
11108482,0.00500,4,Phạm Thắng ~ 11,0.00500,0.00000,0
10039860,0.00500,3,Kontrabida DanDan,0.00500,0.00000,0
9509866,0.00500,5,OriharaMaya,0.00500,0.00000,0
10517431,0.00500,2,Jedz,0.00500,0.00000,0
11005305,0.00525,4,twitter: @rmljr_ | LFG,0.00525,0.00000,0
10773539,0.00540,3,SoGood Gaming,0.00540,0.00000,0
10831997,0.00550,4,Accept mah offer mah Friend,0.00550,0.00000,0
11126570,0.00570,0,Royce,0.00570,0.00000,0
11323946,0.00590,1,❤️ Heart ❤️,0.00590,0.00000,0
10902017,0.00590,0,❤️ Heart ❤️,0.00590,0.00000,0
11064508,0.00600,0,pharan,0.00600,0.00000,0
10838442,0.00600,4,thirdyqt,0.00600,0.00000,0
11065309,0.00610,0,ToBjdeX,0.00610,0.00000,0
9799096,0.00640,4,Nadare💕TuanAn ,0.00640,0.00000,0
11250770,0.00656,2,BUY IT BEFORE SOMEONE ELSE WILL,0.01000,0.00100,2592000
9754482,0.00690,3,Taj,0.00690,0.00000,0
9947719,0.00700,4,Accept pls,0.00700,0.00000,0
10762014,0.00700,5,GLOBAL49,0.00700,0.00000,0
10550285,0.00700,4,Gitzgitz,0.00700,0.00000,0
11110904,0.00700,3,DANY PALOMINO,0.00700,0.00000,0
10942309,0.00745,3,enn3ee,0.00745,0.00000,0
9688192,0.00750,5,KronosBlade,0.00750,0.00000,0
9950457,0.00790,6,Wis,0.00790,0.00000,0
10760776,0.00833,4,Zanetka,0.00833,0.00000,0
9197464,0.00840,6,MaxieMystic,0.01500,0.00840,86400
11227580,0.00843,0,Axie waiting room,0.00843,0.00000,0
10293434,0.00900,0,Lion,0.00900,0.00000,0
10505265,0.00900,4,Yanndoang,0.00900,0.00000,0
10895506,0.00900,3,FB: JMB | Follow me,0.00900,0.00000,0
9025334,0.00900,3,I gotta Rest,0.00900,0.00000,0
8448346,0.00990,3,Discord: superace6829,0.00990,0.00000,0
7247876,0.00999,5,(っ◔◡◔)っOFFERCanicoreX/Discord,0.00999,0.00000,0
9946811,0.01000,0,Burnz,0.01000,0.00000,0
9687768,0.01000,5,AiramAkyl28,0.01000,0.00000,0
11244237,0.01000,1,vmsarduy,0.01000,0.00000,0
9401877,0.01000,6,Ndar | YGG | Axie.gg,0.01000,0.00000,0
8248904,0.01000,7,...,0.01500,0.01000,604800
11056937,0.01000,3,esalcedo86,0.01000,0.00000,0
10899647,0.01000,2,Kem.<#8dd>OTZ,0.01000,0.00000,0
11287674,0.01000,1,Gustavo Saraiva,0.01800,0.01000,1209600
9951125,0.01000,0,Vinny,0.01000,0.00000,0
10867746,0.01000,4,Rinwoo,0.01000,0.00000,0
10831970,0.01000,4,Delubyo.Gamer.Com,0.01000,0.00000,0
9046120,0.01000,6,Dani ,0.01000,0.00000,0
10626370,0.01000,5,Kasan,0.01000,0.00000,0
7658344,0.01000,6,...,0.01500,0.01000,604800
9687353,0.01000,4,Ndar | YGG | Axie.gg,0.01000,0.00000,0
8379620,0.01000,4,...,0.01500,0.01000,604800
8448285,0.01000,4,Ndar | YGG | Axie.gg,0.01000,0.00000,0
9044811,0.01000,6,Ndar | YGG | Axie.gg,0.01000,0.00000,0
9044808,0.01000,6,Dani Ve,0.01000,0.00000,0
11287680,0.01000,1,Lunacian #159241,0.10000,0.01000,259200
10436236,0.01050,4,GadoMain,0.01050,0.00000,0
11298785,0.01100,3,1,0.01100,0.00000,0
10900450,0.01100,0,Md | Pbros.ph,0.01100,0.00000,0
11008690,0.01100,2,OmarGMT,0.01100,0.00000,0
11160808,0.01200,0,PLS ACCEPT OFFER T.T,0.01200,0.00000,0
11160757,0.01300,2,Team R@m,0.01300,0.01300,604800
11207282,0.01300,2,Crylira,0.01300,0.00000,0
10900429,0.01300,3,CKensei,0.01300,0.00000,0
11286083,0.01400,0,DANY PALOMINO,0.01400,0.00000,0
11129428,0.01500,0,-BAIT-,0.01500,0.00000,0
10751437,0.01900,4,HotCoffee | Atlas Manager#1752,0.01900,0.00000,0
11276472,0.01900,2,<#0062DB>👑 AIXEHUSTLE 👑,0.01900,0.00000,0
10436305,0.01900,4,PedroZor,0.01900,0.00000,0
10765230,0.01950,5,PjTT,0.01950,0.00000,0
10595223,0.02000,3,<#ff00ff> Christine | Monarch,0.02000,0.00000,0
10816579,0.02000,3,Heck | kraken,0.02000,0.00000,0
10175444,0.02000,3, lastand || <#FF0000>ven,0.02000,0.00000,0
9938949,0.02000,4,Jok3r,0.02000,0.00000,0
9606800,0.02000,5,Otomo,0.02000,0.00000,0
11136039,0.02100,1,DADIMaj,0.02100,0.00000,0
11027420,0.02500,0,RMB 👑,0.02500,0.00000,0
11146994,0.02562,4,twitter/mlazos7,0.05000,0.02500,15552000
11081327,0.02800,2,Lunacian #24971627,0.02700,0.02800,259200
11322521,0.02800,0,FB.gg.Vince Rod,0.02800,0.00000,0
11117038,0.03000,3,Makibao | Save v2,0.03000,0.00000,0
11052386,0.03000,2,Axieverse,0.03000,0.00000,0
11250398,0.03000,1,Tesla | Kraken ,0.03000,0.00000,0
