axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
10600746,0.00172,2,PLEASE SIR ,0.00172,0.00000,0
10902828,0.00200,3,VANTA,0.00200,0.00000,0
10578670,0.00210,3,xx,0.00210,0.00000,0
10862373,0.00215,4,rentau,0.00215,0.00000,0
10785401,0.00310,2,god bless u brother!,0.00310,0.00000,0
11125489,0.00370,4,GLOC I BCGT,0.00370,0.00000,0
10887080,0.00383,4,MrTx,0.00383,0.00000,0
10880317,0.00400,0,AMERICAARGENTINA AIAM,0.00400,0.00000,0
9292324,0.00400,3,Key Liu,0.00400,0.00000,0
8566454,0.00404,0,MrTx,0.00404,0.00000,0
7753322,0.00405,2,Tortillos,0.00405,0.00000,0
10912608,0.00450,3,Wabby,0.00450,0.00000,0
11113121,0.00500,3,Emperor | 🍆 TALONG GAMING 🍆 ,0.00500,0.00000,0
11233158,0.00660,1,ITCHIGO,0.00660,0.00000,0
10862341,0.00745,0,Norty,0.00745,0.00000,0
10681200,0.00800,3,Ryomen Sukuna,0.00800,0.00000,0
7753398,0.00800,2,mo2aka,0.00800,0.00000,0
11225302,0.00950,3,<#00FFF4>© | <#000000>817,0.00950,0.00000,0
10802562,0.01000,4,bangs2,0.01000,0.00000,0
11118370,0.01000,2,👑A ℙ ◉ ℂ👑,0.01000,0.00000,0
5839093,0.01000,2,MGA PLAY - AXIES FOR SALE!,0.02500,0.01000,432000
10566160,0.01000,3,botadorloco,0.01000,0.00000,0
10873231,0.01000,0,DANY PALOMINO,0.01000,0.00000,0
10000924,0.01000,4,Druwoo,0.01000,0.00000,0
11005511,0.01100,2,MarkO | UNO,0.01100,0.00000,0
5757873,0.03200,3,PAULO T.,0.03200,0.00000,0
10874662,0.07000,3,Syd | AAG,0.07000,0.00000,0
1507277,0.09000,2,19h40,0.09000,0.00000,0
11155486,0.10000,3,Discord:Nichol#9212,0.10000,0.00000,0
10750103,0.11000,2,Yamete Kudasai! | JCG,0.11000,0.00000,0
7950197,0.12000,0,qls,0.12000,0.00000,0
10979643,0.15000,1,7aljndR ,0.15000,0.00000,0
7648439,0.21000,5,...,0.21000,0.00000,0
10784816,0.50000,4,MAIN DG,0.50000,0.00000,0
3660690,1.00000,0,AJ axie Team,1.00000,0.00000,0
