axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
11917481,0.01099,4,Francis Rhayl #22891671,0.01099,0.00000,0
11919969,0.01099,4,Francis Rhayl #22891671,0.01099,0.00000,0
11932579,0.01099,4,Francis Rhayl #22891671,0.01099,0.00000,0
11919970,0.01099,4,Francis Rhayl #22891671,0.01099,0.00000,0
11909893,0.01099,4,Francis Rhayl #22891671,0.01099,0.00000,0
11911656,0.01100,5,Jao (@jaoaxie),0.01100,0.00000,0
11917479,0.01500,0,Lunge | LF Guild,0.03000,0.01500,1296000
11909895,0.01500,4,Agent Jec - PNX BETTING,0.01500,0.00000,0
11933521,0.01570,3,Shacc Gaming,0.01570,0.00000,0
11917469,0.01600,5,Lunge | LF Guild,0.01600,0.00000,0
11894604,0.01700,5,KUKULITNIYO,0.01700,0.00000,0
11344241,0.01750,5,Del pogi,0.01750,0.00000,0
11917480,0.01980,5,Lunge | LF Guild,0.01980,0.00000,0
11902725,0.02000,5,Jade | Axie Bob University,0.02000,0.00000,0
11924596,0.02160,0,Lunge | LF Guild,0.03000,0.01000,2592000
11924598,0.02164,0,Lunge | LF Guild,0.03000,0.01000,2592000
11881322,0.02275,6,Faint#4 Fan | LFG/LFT,0.02275,0.00000,0
11928657,0.02481,4,Lehitimo,0.02400,0.04000,345600
11924600,0.02500,5,Lunge | LF Guild,0.02500,0.00000,0
11924648,0.02528,0,Lunge | LF Guild,0.03000,0.01500,3456000
11909776,0.02600,4,aldwinx99,0.02600,0.00000,0
11881268,0.03000,4,Accept puhhh leaaaase!🙈,0.03000,0.00000,0
11917631,0.03600,0,Agent Jec - PNX BETTING,0.03600,0.00000,0
11917628,0.03600,0,Agent Jec - PNX BETTING,0.03600,0.00000,0
11346442,0.03870,2,SSSS,0.03870,0.00000,0
11349561,0.04000,2,CorleoneCruz,0.04000,0.00000,0
11883438,0.04000,0,ERA6 I sak.gg,0.04000,0.00000,0
11368016,0.06000,3,JaraguaGecko#5,0.30000,0.06000,259200
11330283,0.09400,6,Devuuu | CDG,0.09400,0.00000,0
11345177,0.12000,0,egghead 1.1,0.12000,0.00000,0
11347768,0.12000,0,Hammad Munir,0.12000,0.00000,0
11347767,0.18500,0,L018,0.18500,0.00000,0
11346555,0.20000,0,JaraguaGecko#13,0.30000,0.20000,86400
11348519,0.20000,3,Yamete Kudasai! | JCG,0.20000,0.00000,0
11343786,1.00000,5,zodiaxieph,1.00000,0.00000,0
