axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11928657,0.0150,2023-11-12,Gero,Tiny Fan,4,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa00000000218202210840902104228c41045110a1445100c04a1208a00200846
11917471,0.0160,2023-11-11,Telescope,Seaslug,5,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa00000000314212310a320821044104810c41106144510c804a1294c00252002
11334556,0.0085,2023-11-10,Tricky,Friezard,3,Catfish,Scaly Spear,Scarab,Cottontail,Reptile,Reptile,0xa0000000060862321445110410432948144511041445314404a129460020080a
11924607,0.0158,2023-11-10,Telescope,Seaslug,5,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa00000000608243310a41082104410c810c419061445114404a1284a00200802
11349173,0.0150,2023-11-10,Sleepless,Inkling,4,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa000000006143323102109021040084a108511081445108604a1284a00211104
11917481,0.0160,2023-11-10,Cucumber Slice,Seaslug,0,Catfish,Scaly Spear,Scarab,Cottontail,Plant,Aquatic,0xa0000000061432230c8428821042200a10c419061445108c04a1284a00200802
11898737,0.0150,2023-11-09,Gero,Seaslug,3,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa000000006185311108429041044100410c420c81441114404a119460024194c
11414501,0.0110,2023-11-08,Gero,Sakura,0,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Plant,0xa00000000c0cc332108409021040084a0c8421441442214404a1284a0021114c
11924919,0.0159,2023-11-08,Telescope,Seaslug,4,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa00000000618511310a421041044108410c5110c1445100604a128c800200802
11871672,0.0100,2023-11-07,Telescope,Seaslug,4,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0x500000000514531410a411021045210410c419441442088204a1284600200946
11928991,0.0120,2023-11-06,Telescope,Leaf Bug,4,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Bug,0xa00000000614511410a4110210441104048231041445114404a129460020080a
11918178,0.0200,2023-11-05,Gero,Bubblemaker,0,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa00000000614611310840908104410441063310a1445114404a5280a00200802
11342783,0.0174,2023-11-01,Telescope,Hollow,4,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Plant,0xa0000000052c514210a011441045100a0ca431021440194404a1294400221086
11917465,0.0190,2023-11-01,Telescope,Bubblemaker,5,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa00000000314242310a3208210452048106411041445114404a1284a00200802
11917772,0.0198,2023-10-30,Gero,Inkling,4,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa00000001e1851331084110410441084108431061445100604a1290c00233002
11892093,0.0130,2023-10-29,Confused,Leaf Bug,4,Catfish,Scaly Spear,Scarab,Cottontail,Plant,Bug,0x50000000050864100c44110410410804048410061445108204a5204a00200904
11898740,0.0150,2023-10-28,Telescope,Friezard,4,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Reptile,0xa00000000618511110a50908104011041444210c144510c804a1294600241802
11898737,0.0210,2023-10-27,Gero,Seaslug,3,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa000000006185311108429041044100410c420c81441114404a119460024194c
11875411,0.0210,2023-10-26,Telescope,Seaslug,4,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa00000000518541310a420c21044100410c130c81445114404a128ca00241802
11902590,0.0190,2023-10-24,Clear,Seaslug,5,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa000000006142234104208041044114810c3110a1445114404a5304a00200802
11414499,0.0900,2023-10-23,Sleepless,Seaslug,3,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa0000000063032331024094a1040084a10c421041445114404a1284a00200904
11909893,0.0250,2023-10-23,Gero,Leaf Bug,0,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Bug,0xa00000000518541110851008104321040484188c1445114404a1284a00200846
11902590,0.0151,2023-10-23,Clear,Seaslug,5,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa000000006142234104208041044114810c3110a1445114404a5304a00200802
11883550,0.0175,2023-10-23,Telescope,Bubblemaker,4,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0x400000000618623310a1208a1041094410653106144510c604a2184a0022194a
11909895,0.0200,2023-10-21,Sleepless,Leaf Bug,0,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Bug,0xa00000000c145111102309441043214a0484190c1445114404a128c600242008
11334556,0.0200,2023-10-21,Tricky,Friezard,3,Catfish,Scaly Spear,Scarab,Cottontail,Reptile,Reptile,0xa0000000060862321445110410432948144511041445314404a129460020080a
11327692,0.0300,2023-10-19,Gero,Seaslug,4,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa00000000518c34310842082104410c810c5090c1445114a04a1284a00200802
11902590,0.0251,2023-10-19,Clear,Seaslug,5,Catfish,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa000000006142234104208041044114810c3110a1445114404a5304a00200802
11871671,0.0184,2023-10-17,Confused,Seaslug,4,Catfish,Scaly Spear,Scarab,Cottontail,Plant,Aquatic,0xa0000000041853410c4411021044110410c519441442080604a1294800200942
