axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
11899008,0.00800,0,tyranno,0.00800,0.00000,0
11906370,0.00850,2,F.🗿🗿 (V2 Enjoyer) ,0.01350,0.00850,604800
11343300,0.00900,4,Mikko,0.00900,0.00000,0
11866862,0.00900,4,UMAY,0.00900,0.00000,0
11884634,0.01200,5,Jao (@jaoaxie),0.01200,0.00000,0
11906371,0.01450,2,RUDE,0.01450,0.00000,0
11872016,0.01500,0,FB | Leo Ronaxs  🇲🇽,0.01500,0.00000,0
11873294,0.01500,2,Search my Axie then Offer!!,0.10000,0.01500,259200
11898458,0.01500,3,Yeji #1 Fanboy,0.01500,0.00000,0
11866861,0.01740,4,Norym/LFG,0.01740,0.00000,0
11856744,0.01800,4,123,0.01800,0.00000,0
11927371,0.01865,3,Adriana,0.01870,0.01750,86400
11345487,0.01900,2,Steven | CDG,0.01900,0.00000,0
11910752,0.01900,3,Axietaz,0.01900,0.00000,0
11871793,0.02313,5,ThunderStruck | Axie.gg,0.05000,0.00500,2592000
11348886,0.02500,4,MichaelBalangatan|Tiktok,0.02500,0.00000,0
11918859,0.02500,0,Adriana,0.02500,0.00000,0
11347286,0.03000,3,GG,0.03000,0.00000,0
11888781,0.03000,3,PL RAINE#7,0.03000,0.00000,0
11344142,0.03300,4,food panda,0.03300,0.00000,0
11871656,0.08000,3,Youtube.com/@BlueBirdAxie,0.08000,0.00000,0
11867892,3.00000,3,if not now then when,3.00000,0.00000,0
