axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11392530,0.0080,2023-10-27,Kotaro?,Leaf Bug,2,Mosquito,Caterpillars,Snail Shell,Cottontail,Bug,Bug,0x100000000434422204a1280a0423280a0481184c046020460421094a0020084c
11327319,0.0078,2023-10-27,Mavis,Friezard,4,Mosquito,Caterpillars,Snail Shell,Cottontail,Bird,Reptile,0x10000000042842220825114a0425284814442042046018460423104200232802
11351845,0.0067,2023-10-27,Tricky,Gill,2,Mosquito,Caterpillars,Snail Shell,Cottontail,Reptile,Aquatic,0x1000000002344222144110880421080810a319040461184a042108c600211002
11869236,0.0081,2023-10-27,Topaz,Gill,4,Mosquito,Caterpillars,Snail Shell,Cottontail,Reptile,Aquatic,0x100000000d10d22214a520080424104210a5190c046118460421084200200884
11392530,0.0080,2023-10-26,Kotaro?,Leaf Bug,2,Mosquito,Caterpillars,Snail Shell,Cottontail,Bug,Bug,0x100000000434422204a1280a0423280a0481184c046020460421094a0020084c
11874155,0.0075,2023-10-26,Bookworm,Bubblemaker,2,Mosquito,Caterpillars,Snail Shell,Cottontail,Bug,Aquatic,0x100000000d1044220425290204210842106420420461284a042328420020080c
11901745,0.0090,2023-10-26,Robin,Pink Cheek,3,Mosquito,Caterpillars,Snail Shell,Cottontail,Bird,Bird,0x100000000410442408a4108a04210842082210440461180a042308420020090a
11872823,0.0085,2023-10-25,Telescope,Larva,2,Mosquito,Caterpillars,Snail Shell,Cottontail,Aquatic,Bug,0x100000000434622210a5114804210842042428080461188c042418c200211044
11327319,0.0074,2023-10-25,Mavis,Friezard,4,Mosquito,Caterpillars,Snail Shell,Cottontail,Bird,Reptile,0x10000000042842220825114a0425284814442042046018460423104200232802
11913578,0.0079,2023-10-25,Zeal,Seaslug,0,Mosquito,Caterpillars,Snail Shell,Cottontail,Beast,Aquatic,0x100000000434d2220023200a0424104210c5290a04612846042108420022188c
11351845,0.0089,2023-10-24,Tricky,Gill,2,Mosquito,Caterpillars,Snail Shell,Cottontail,Reptile,Aquatic,0x1000000002344222144110880421080810a319040461184a042108c600211002
11352196,0.0070,2023-10-23,Little Peas,Zen,3,Mosquito,Caterpillars,Snail Shell,Cottontail,Beast,Beast,0x100000000410d2220042114a0421084a0083190a04611846042108c200200844
11879578,0.0090,2023-10-23,Bookworm,Bubblemaker,0,Mosquito,Caterpillars,Snail Shell,Cottontail,Bug,Aquatic,0x10000000041044440425294404210842106430420460104a042108c800242044
11873943,0.0080,2023-10-23,Bookworm,Curved Spine,4,Mosquito,Caterpillars,Snail Shell,Cottontail,Bug,Reptile,0x100000000d34d424042328420421084214611946046118480421084200200908
11896762,0.0083,2023-10-23,Bookworm,Ear Breathing,3,Mosquito,Caterpillars,Snail Shell,Cottontail,Bug,Bug,0x100000000410d2420421284a0421084204642902046118480421084200200908
11890827,0.0083,2023-10-21,Zeal,Gill,4,Mosquito,Caterpillars,Snail Shell,Cottontail,Beast,Aquatic,0x100000000d10d222002411440421088410a13008046128020421084200200802
11877764,0.0073,2023-10-20,Cucumber Slice,Clover,2,Mosquito,Caterpillars,Snail Shell,Cottontail,Plant,Plant,0x100000000d3442220c83104a042108880c442146046118460421084600211044
11880872,0.0070,2023-10-20,Zeal,Ear Breathing,4,Mosquito,Caterpillars,Snail Shell,Cottontail,Beast,Bug,0x100000000d34d224002128c40425104204611882046119020421084200211842
