axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
11910225,0.01343,4,1 | Fyxn,0.01400,0.01000,604800
11890801,0.01344,5,Vs,0.01900,0.01200,1468800
11897914,0.01350,2,DC: Chematic#5579 | FB: Boss Chem | LFG/LFT,0.01350,0.00000,0
11897541,0.01390,0,Ice4Sale.T1,0.01390,0.00000,0
11338354,0.01510,5,Orale Ese,0.01510,0.00000,0
11875634,0.01600,4,Wuu.,0.01600,0.00000,0
11905518,0.01617,4,Vs,0.01800,0.01100,950400
11905509,0.01647,4,Vs,0.01900,0.01200,1900800
11905514,0.01707,3,Vs,0.01900,0.01100,2851200
11905512,0.01731,5,Vs,0.01900,0.01200,2851200
11385869,0.01780,5,Ga,0.01780,0.00000,0
11870110,0.01780,0,albert,0.01780,0.00000,0
11877450,0.01850,4,Axiemon Gaming,0.01850,0.00000,0
11348216,0.01900,3,Peptomano ♠,0.01900,0.00000,0
11883781,0.02000,5,Alricki | catJAM,0.02000,0.00000,0
11910230,0.02238,4,1 | Fyxn,0.03000,0.01500,864000
11334659,0.03000,4,PjTT,0.03000,0.00000,0
11339110,0.03000,3,Adriana,0.03000,0.00000,0
11334544,0.03120,2,Dc: @DEV616,0.03120,0.00000,0
11346320,0.03200,4,Sky No Limit,0.03200,0.00000,0
11890821,0.04000,5,MichaelBalangatan|Tiktok,0.04000,0.00000,0
11901753,0.04000,3,MichaelBalangatan|Tiktok,0.04000,0.00000,0
11345685,0.04800,3,Angelicod,0.04800,0.00000,0
11341616,0.05000,0,JESUS,0.05000,0.00000,0
11341618,0.05000,3,IagoGara,0.05000,0.00000,0
11312994,0.05000,4,Twitch.tv/Alig7777,0.05000,0.00000,0
11346720,0.05000,4,<#696969>Heisenberg,0.05000,0.00000,0
11337482,0.05500,2,Maxxene_Roxie,0.05500,0.00000,0
11341319,0.06000,2,Lunacian #24619371,0.06000,0.00000,0
11334967,0.06000,3,Ndar | YGG | Axie.gg,0.06000,0.00000,0
11869240,0.10000,4,Youtube.com/@BlueBirdAxie,0.10000,0.00000,0
11326258,0.18000,6,Brian06,0.18000,0.00000,0
11319664,0.18900,4,Usap tayo pre - Gasul Gaming page ko,0.18900,0.00000,0
11345171,0.19000,2,Yamete Kudasai! | JCG,0.19000,0.00000,0
11405559,0.20000,0,Bakuryu,0.20000,0.00000,0
11341071,0.20000,2,<#1B3F8B>Lord Grimm | Happy,0.20000,0.00000,0
11349104,0.30000,2,scaly larva swallows,0.30000,0.00000,0
11327670,0.50000,2,GOINGs Sakalam,0.50000,0.00000,0
11347764,0.60000,0,pekuek #1751410,0.60000,0.00000,0
11283818,0.78900,4,Lunacian #25367831,0.78900,0.00000,0
