axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11927395,0.0122,2023-11-09,Sleepless,Friezard,3,Mosquito,Parasite,Snail Shell,Cottontail,Aquatic,Reptile,0x10000000021022441025288a042108841442090404a430460421080400202002
11905509,0.0127,2023-11-08,Scar,Curved Spine,4,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Reptile,0x100000000434d22214852904042108421462104c04a118460421090c00200802
11890773,0.0120,2023-11-06,Scar,Tiny Fan,4,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Aquatic,0x100000000210d2221480100a042108821041084404a230460421088a00200802
11910230,0.0150,2023-11-04,Robin,Pink Cheek,4,Mosquito,Parasite,Snail Shell,Cottontail,Bird,Bird,0x100000000434222408a4108a042320420821104404a0284a042108c200200802
11887486,0.0100,2023-11-01,Robin,Ear Breathing,4,Mosquito,Parasite,Snail Shell,Cottontail,Bird,Bug,0x100000000208222408a2288a042108420461114404a4284a0421084200200802
11659044,0.0050,2023-10-31,Neo,Inkling,0,Mosquito,Parasite,Snail Shell,Cottontail,Bug,Aquatic,0x100000000d183140044428c8042208821084210804a129060425184200232002
11917938,0.0118,2023-10-30,Topaz,Pink Cheek,3,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Bird,0x100000000d10222414a41104042108420821104404a00846042108420020210a
11890801,0.0122,2023-10-30,Tricky,Gill,5,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Aquatic,0x100000000410d222144028020421088410a0280c04a1184a0421084200200802
11327061,0.0100,2023-10-29,Cucumber Slice,Larva,5,Mosquito,Parasite,Snail Shell,Cottontail,Plant,Bug,0x10000000040864240c84110404210842042510ca04a428460421084200200904
11897900,0.0126,2023-10-29,Clear,Friezard,5,Mosquito,Parasite,Snail Shell,Cottontail,Aquatic,Reptile,0x100000000634d22210452802042108421444088404a508460421084200200802
11910225,0.0124,2023-10-29,Topaz,Pink Cheek,4,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Bird,0x100000000410442414a4108a042108420822114404a02846042108420020090a
11905518,0.0150,2023-10-29,Clear,Early Bird,4,Mosquito,Parasite,Snail Shell,Cottontail,Aquatic,Bird,0x100000000634d22210452802042108420844080a04a128460421084200212802
11334544,0.0312,2023-10-28,Tricky,Friezard,2,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Reptile,0x100000000434411214441008042528c81445114404a4190a0421088c00232002
11897541,0.0139,2023-10-28,Bookworm,Curved Spine,0,Mosquito,Parasite,Snail Shell,Cottontail,Bug,Reptile,0x100000000d34d222042008c8042108c4146520ca04a109420421084400200802
11897900,0.0110,2023-10-27,Clear,Friezard,5,Mosquito,Parasite,Snail Shell,Cottontail,Aquatic,Reptile,0x100000000634d22210452802042108421444088404a508460421084200200802
11338354,0.0151,2023-10-27,Topaz,Inkling,5,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Aquatic,0x100000000234424214a00948042108c21083184604a028c4042310420021100a
11338354,0.0130,2023-10-26,Topaz,Inkling,5,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Aquatic,0x100000000234424214a00948042108c21083184604a028c4042310420021100a
11897900,0.0140,2023-10-25,Clear,Friezard,5,Mosquito,Parasite,Snail Shell,Cottontail,Aquatic,Reptile,0x100000000634d22210452802042108421444088404a508460421084200200802
11901753,0.0170,2023-10-25,Clear,Risky Bird,3,Mosquito,Parasite,Snail Shell,Cottontail,Aquatic,Bird,0x100000000d10d214104528c8042108c808c2084404a2104a042108c200200802
11890821,0.0170,2023-10-25,Clear,Gill,5,Mosquito,Parasite,Snail Shell,Cottontail,Aquatic,Aquatic,0x100000000418d222104510020421094210a1308404a118020421084200200802
11897896,0.0142,2023-10-24,Topaz,Friezard,4,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Reptile,0x100000000418d22214a41002042108421441308404a508020421084200200802
11877460,0.0135,2023-10-23,Chubby,Larva,2,Mosquito,Parasite,Snail Shell,Cottontail,Beast,Bug,0x100000000234d22200a22002042409040425190404a1190a0421084200223046
11897914,0.0114,2023-10-22,Tricky,Early Bird,2,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Bird,0x100000000434622214402802042108420840280c04a119080421084200200802
11897909,0.0091,2023-10-21,Chubby,Friezard,2,Mosquito,Parasite,Snail Shell,Cottontail,Beast,Reptile,0x100000000d34d22200a51002042108421444294a04a1184a042108420020094a
11887486,0.0090,2023-10-21,Robin,Ear Breathing,4,Mosquito,Parasite,Snail Shell,Cottontail,Bird,Bug,0x100000000208222408a2288a042108420461114404a4284a0421084200200802
11879571,0.0093,2023-10-20,Bookworm,Small Frill,3,Mosquito,Parasite,Snail Shell,Cottontail,Bug,Reptile,0x10000000041044440423094a04210842148418ca04a118460421084200211002
11905521,0.0095,2023-10-20,Tricky,Puppy,0,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Beast,0x1000000004184222144411080421084200a4088404a1294a0420104200221002
11897541,0.0092,2023-10-20,Bookworm,Curved Spine,0,Mosquito,Parasite,Snail Shell,Cottontail,Bug,Reptile,0x100000000d34d222042008c8042108c4146520ca04a109420421084400200802
11869234,0.0119,2023-10-20,Kotaro?,Early Bird,3,Mosquito,Parasite,Snail Shell,Cottontail,Bug,Bird,0x100000000d34d22204a52808042428420845184404a118460421084200200802
11897902,0.0160,2023-10-19,Scar,Curved Spine,4,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Reptile,0x100000000d34d22214852802042108421461310204a118460421084200232002
11905508,0.0050,2023-10-19,Topaz,Earwing,0,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Bug,0x100000000d18d22214a410020421084204c5110804a128460423284200253002
11344156,0.0110,2023-10-17,Tricky,Rosa,2,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Plant,0x100000000408d22214452944042108840c65180a04a128460421080c00200802
11901751,0.0100,2023-10-17,Robin,Larva,3,Mosquito,Parasite,Snail Shell,Cottontail,Bird,Bug,0x100000000210212408a5288a042108c80422094404a118080421084200200802
11897927,0.0111,2023-10-16,Tricky,Larva,0,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Bug,0x100000000408d2221440080a042108420424100804a230020422284200201802
11897924,0.0104,2023-10-15,Tricky,Larva,0,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Bug,0x100000000210422214451004042210420424104404a230020421088a00242002
11890821,0.0193,2023-10-14,Clear,Gill,5,Mosquito,Parasite,Snail Shell,Cottontail,Aquatic,Aquatic,0x100000000418d222104510020421094210a1308404a118020421084200200802
11879572,0.0131,2023-10-14,Tricky,Sakura,3,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Plant,0x10000000021044221441094a042108840c83310a04a118460421084200211002
11890830,0.0157,2023-10-14,Clear,Curved Spine,4,Mosquito,Parasite,Snail Shell,Cottontail,Aquatic,Reptile,0x100000000d10d22210451002042108421461310204a118020421084200232002
11343514,0.0090,2023-10-13,Kotaro?,Puppy,1,Mosquito,Parasite,Snail Shell,Cottontail,Bug,Beast,0x100000000210422204a511080421084200a428cc04a0084a0423204200211002
11883772,0.0090,2023-10-12,Zeal,Curved Spine,4,Mosquito,Parasite,Snail Shell,Cottontail,Beast,Reptile,0x100000000d34d222002528c8042108c4146108ca04a118840421104200200802
11877457,0.0135,2023-10-12,Confused,Seaslug,3,Mosquito,Parasite,Snail Shell,Cottontail,Plant,Aquatic,0x100000000d08d2220c45100a0424104210c4284204a428460421084200200844
11890773,0.0164,2023-10-12,Scar,Tiny Fan,4,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Aquatic,0x100000000210d2221480100a042108821041084404a230460421088a00200802
11890824,0.0175,2023-10-12,Tricky,Curved Spine,4,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Reptile,0x100000000d10222214451002042210421461300804a118020421084200200806
11883781,0.0141,2023-10-11,Tricky,Gill,5,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Aquatic,0x1000000004102222144510020421088410a4280804a128020421084200200802
11894109,0.0098,2023-10-11,Robin,Ear Breathing,4,Mosquito,Parasite,Snail Shell,Cottontail,Bird,Bug,0x100000000408212408a2288a042108c80461108204a1184a042108c200200802
11883772,0.0089,2023-10-11,Zeal,Curved Spine,2,Mosquito,Parasite,Snail Shell,Cottontail,Beast,Reptile,0x100000000d34d222002528c8042108c4146108ca04a118840421104200200802
11887486,0.0088,2023-10-09,Robin,Ear Breathing,4,Mosquito,Parasite,Snail Shell,Cottontail,Bird,Bug,0x100000000208222408a2288a042108420461114404a4284a0421084200200802
11877460,0.0066,2023-10-09,Chubby,Larva,2,Mosquito,Parasite,Snail Shell,Cottontail,Beast,Bug,0x100000000234d22200a22002042409040425190404a1190a0421084200223046
11883845,0.0124,2023-10-08,Scar,Curved Spine,4,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Reptile,0x100000000234d2221485280a042208c21460284404a128460422088a00200802
11883772,0.0090,2023-10-08,Zeal,Curved Spine,0,Mosquito,Parasite,Snail Shell,Cottontail,Beast,Reptile,0x100000000d34d222002528c8042108c4146108ca04a118840421104200200802
11883778,0.0121,2023-10-08,Tricky,Curved Spine,1,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Reptile,0x100000000210d4231445294a042410421463188604a220c20420284200241002
11872800,0.0103,2023-10-07,Tricky,Curved Spine,4,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Reptile,0x100000000234d222144028c4042410421463184204a020840421084200200886
11877450,0.0105,2023-10-07,Scar,Curved Spine,4,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Reptile,0x100000000d34d222148528c8042109081463290c04a118460421104200200802
11877456,0.0100,2023-10-07,Tricky,Rosa,4,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Plant,0x100000000234d22214431002042109040c65190404a128080421084a00200904
11883776,0.0093,2023-10-07,Confused,Larva,0,Mosquito,Parasite,Snail Shell,Cottontail,Plant,Bug,0x10000000021022220c43210a042108420424110804a128080425304a00200908
11875631,0.0087,2023-10-07,Mavis,Earwing,3,Mosquito,Parasite,Snail Shell,Cottontail,Bird,Bug,0x1000000004082221082229440421094804c3184404a5284a0421084200200906
11877460,0.0070,2023-10-06,Chubby,Larva,2,Mosquito,Parasite,Snail Shell,Cottontail,Beast,Bug,0x100000000234d22200a22002042409040425190404a1190a0421084200223046
11883769,0.0106,2023-10-06,Confused,Seaslug,1,Mosquito,Parasite,Snail Shell,Cottontail,Plant,Aquatic,0x100000000d08d2220c4520080424104210c0088404a120460421084200200802
11877456,0.0087,2023-10-06,Tricky,Rosa,4,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Plant,0x100000000234d22214431002042109040c65190404a128080421084a00200904
11875631,0.0080,2023-10-05,Mavis,Earwing,3,Mosquito,Parasite,Snail Shell,Cottontail,Bird,Bug,0x1000000004082221082229440421094804c3184404a5284a0421084200200906
11870110,0.0095,2023-10-05,Neo,Inkling,0,Mosquito,Parasite,Snail Shell,Cottontail,Bug,Aquatic,0x100000000308422404411002042209481082104404a128ca042110860020084c
11338354,0.0163,2023-10-05,Topaz,Inkling,5,Mosquito,Parasite,Snail Shell,Cottontail,Reptile,Aquatic,0x100000000234424214a00948042108c21083184604a028c4042310420021100a
11877457,0.0086,2023-10-05,Confused,Seaslug,3,Mosquito,Parasite,Snail Shell,Cottontail,Plant,Aquatic,0x100000000d08d2220c45100a0424104210c4284204a428460421084200200844
11343493,0.0082,2023-10-04,Mavis,Earwing,5,Mosquito,Parasite,Snail Shell,Cottontail,Bird,Bug,0x1000000004086422082409440421094804c3188204a528460423184200200906
11341880,0.0094,2023-10-04,Nerdy,Curved Spine,2,Mosquito,Parasite,Snail Shell,Cottontail,Bug,Reptile,0x10000000043442220482294a042208041460290804a118460421084200200802
