axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
11143257,0.01700,5,RUDE,0.01700,0.00000,0
11899518,0.01800,5,dc:bob36#2630 | Axie Bob Shop,0.01800,0.00000,0
11181477,0.01800,5,MIEL | JMWildcards,0.01800,0.00000,0
11233230,0.02000,3,messirve #,0.02000,0.00000,0
11318833,0.02000,3,Eomer_Son_Of_Eomund,0.02000,0.00000,0
11283841,0.02500,1,jilogs,0.02500,0.00000,0
11250973,0.02900,3,OneSnap,0.02950,0.02900,2592000
11240687,0.03000,4,FB:Marlondador,0.03000,0.00000,0
11233213,0.05000,5,SOLO GAMER,0.05000,0.00000,0
11345779,0.08000,1,SASHBAR,0.08000,0.00000,0
11265437,0.20000,0,Yamete Kudasai! | JCG,0.20000,0.00000,0
