axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
11919596,0.00990,3,dc:bob36#2630 | Axie Bob Shop,0.00990,0.00000,0
11613721,0.01480,0,Mob #21663553,0.01480,0.00000,0
11705390,0.01500,0,Jaja ,0.01500,0.00000,0
11919550,0.01900,4,Mirri ,0.01900,0.00000,0
11926270,0.01900,4,Mirri ,0.01900,0.00000,0
11911201,0.02000,4,dc:bob36#2630 | Axie Bob Shop,0.02000,0.00000,0
11926278,0.02359,4,Mirri ,0.02359,0.00000,0
6385165,0.03240,0,Team 1,0.03240,0.00000,0
11254699,0.04376,2,INL Opsora [INSANE],0.10000,0.01000,15552000
10443569,0.05000,2,Purrr: DM for Offers DC: Ferrr38,0.05000,0.00000,0
11231739,0.18000,5,Yamete Kudasai! | JCG,0.18000,0.00000,0
