axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
11910938,0.00700,3,dc:bob36#2630 | Axie Bob Shop,0.00700,0.00000,0
11239964,0.00700,2,Edeshiii,0.00700,0.00000,0
11899654,0.00940,2,dc:bob36#2630 | Axie Bob Shop,0.00940,0.00000,0
11310587,0.00940,1,Lunacian #56847,0.00940,0.00000,0
11321926,0.01000,2,Erogirl,0.01000,0.00000,0
11214333,0.01000,0,jorgec,0.01000,0.00000,0
11262445,0.01000,0,Jesper ,0.01000,0.00000,0
11187277,0.01050,4,Please i need this :(,0.01050,0.00000,0
11866387,0.01142,5,dc:bob36#2630 | Axie Bob Shop,0.01142,0.00000,0
11324791,0.01142,4,Master E | EE.E,0.01142,0.00000,0
11304842,0.01200,0,Gabrielrsd | JEP,0.01200,0.00000,0
11219870,0.01300,0,Kenji666,0.01300,0.00000,0
11270498,0.01400,1,Prieto | JMBP,0.01400,0.00000,0
11332360,0.01500,2,PumpkinEater69,0.01500,0.00000,0
11345256,0.02000,2,Ellie | Kyle25,0.02000,0.00000,0
11269608,0.03000,2,Accept pls,0.03000,0.00000,0
11330341,0.03000,2,Ter ,0.03000,0.00000,0
11213336,0.08684,3,Send Offers,0.08684,0.00000,0
11032916,0.09300,0,Lunacian #25813463,0.09300,0.00000,0
11214354,0.10000,4,Bakuryu,0.10000,0.00000,0
10954389,0.11000,5,Yamete Kudasai! | JCG,0.11000,0.00000,0
11009990,0.11200,5,DeVor3,0.11200,0.00000,0
11254893,1.00000,4,The Mystic Merchant,1.00000,0.00000,0
11205201,2.00000,2,Dave | TD.Topdeckan,2.00000,0.00000,0
