axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
11911168,0.01400,3,dc:bob36#2630 | Axie Bob Shop,0.01400,0.00000,0
11321947,0.01400,4,Nielsanity | ImBack,0.01400,0.00000,0
11339638,0.01600,4,Wengz23,0.01600,0.00000,0
11341423,0.01792,2,😈 Kagaya |30| NFGz Demons,0.01792,0.00000,0
11323047,0.01800,3,DONNABELLS,0.01800,0.00000,0
11316257,0.01800,4,Norym/LFG,0.01800,0.00000,0
11344599,0.01800,0,A Pimp Named Slickback,0.01800,0.00000,0
11344612,0.02000,0,Long Bát,0.30000,0.02000,950400
11342351,0.02500,0,PLEASEEE ACCEPT MY OFFER,0.02500,0.00000,0
11326324,0.03000,4,Phyxsius | GCPH,0.03000,0.00000,0
11114396,0.05000,0,Ramiro,0.05000,0.00000,0
11343810,0.05000,0,Yuno,0.05000,0.00000,0
11321955,0.06139,4,BARGAIN AXIE PASOK MGA SUKI,0.06139,0.00000,0
11328558,0.07000,3,Kryptonite | GinTamesGang,0.07000,0.00000,0
11344604,0.11000,0,Yamete Kudasai! | JCG,0.11000,0.00000,0
