axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11911168,0.0140,2023-11-03,Clear,Bubblemaker,3,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Aquatic,0x400000000c18c2321042290210a00842106410cc0cc030841042088210252104
11919750,0.0150,2023-11-02,Robin,Gill,0,Piranha,Watermelon,Blue Moon,Koi,Bird,Aquatic,0x400000000628310008a4090a10a4294410a4184a0cc41944104209041020310c
11344599,0.0045,2023-10-16,Telescope,Small Frill,0,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Reptile,0x400000000c29e33210a4104410a408441484090c0cc3300610441104102528c6
11344599,0.0110,2023-10-08,Telescope,Small Frill,0,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Reptile,0x400000000c29e33210a4104410a408441484090c0cc3300610441104102528c6
11327020,0.0157,2023-10-08,Clear,Gill,2,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Aquatic,0x400000000a30c2221044210410a0094810a1110a0cc208021044190410240902
11342351,0.0100,2023-10-06,Clear,Inkling,0,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Aquatic,0x400000000c30a032104410c210a0090a1083190a0cc330cc10401904102220c6
11345838,0.0110,2023-10-02,Clear,Gill,0,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Aquatic,0x400000000c30c2221044110a10a4290a10a1104a0cc310021044114410240902
11348077,0.0168,2023-09-25,Telescope,Gill,0,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Aquatic,0x400000001e78c20210a4114410a4288810a431080cc318cc1041210410242902
11327021,0.0110,2023-09-23,Telescope,Gill,3,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Aquatic,0x400000000330c22210a4110810a4290210a420080cc310841040190610240902
11321960,0.0149,2023-09-22,Clear,Nimo,4,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Aquatic,0x400000001e78c4211044280810a409081025210a0cc130841042110410241002
11336569,0.0138,2023-09-22,Telescope,Inkling,4,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Aquatic,0x400000001e78c32010a1294410a409421085210c0cc330cc10441008102408c6
11321960,0.0180,2023-09-17,Clear,Nimo,4,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Aquatic,0x400000001e78c4211044280810a409081025210a0cc130841042110410241002
11326311,0.0180,2023-09-14,Telescope,Nimo,0,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Aquatic,0x400000001e78c24410a4110a10a40902102121480cc130cc1044110410210902
7082319,0.0195,2023-08-31,Clear,Gill,0,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Aquatic,0x400000000c30c3321044084410a4110810a4290a0cc211081044190410240886
11345834,0.0175,2023-08-29,Clear,Gill,0,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Aquatic,0x40000000080cc2231040110a10a5104810a2288c0cc310841044110410240906
11297675,0.0150,2023-08-27,Clear,Nimo,2,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Aquatic,0x400000000c7880211040290410a428481024310c0cc2114c1045310410240902
11327020,0.0200,2023-08-24,Clear,Gill,2,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Aquatic,0x400000000a30c2221044210410a0094810a1110a0cc208021044190410240902
11348077,0.0100,2023-08-15,Telescope,Gill,0,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Aquatic,0x400000001e78c20210a4114410a4288810a431080cc318cc1041210410242902
11345836,0.0170,2023-08-13,Clear,Curly,0,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Bird,0x400000000c0cc2221043110a10a4290a08a3110c0cc330cc1044104410240902
11319445,0.0050,2023-08-12,Sleepless,Pink Cheek,3,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Bird,0x400000001e1862231024110410a428ca082429060cc421081044110410243102
11348078,0.0180,2023-08-09,Gero,Seaslug,0,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Aquatic,0x400000001e79e2221084114410a4288810c428020cc430cc1044110410240902
11344601,0.0080,2023-08-08,Gero,Nimo,0,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Aquatic,0x400000001e78a2221081294410a3214a1024310c0cc330cc104319041024090c
11323047,0.0100,2023-07-28,Clear,Gill,3,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Aquatic,0x400000000a30c2241044110410a4290210a110080cc310cc1044110610240902
11316257,0.0100,2023-07-28,Clear,Nimo,4,Piranha,Watermelon,Blue Moon,Koi,Aquatic,Aquatic,0x400000001e78c2301044284810a009021025210a0cc210841044190a10240806
