axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11346785,0.0105,2023-10-28,Gero,Curved Spine,1,Razor Bite,Scaly Spear,Scarab,Cottontail,Aquatic,Reptile,0x50000000031431301082094a148529481465110a1445110804a1280a002108c4
11342401,0.0080,2023-10-27,Gero,Early Bird,0,Razor Bite,Scaly Spear,Scarab,Cottontail,Aquatic,Bird,0x50000000071460001081108214852148084031441445108804a4304a00200904
11868733,0.0051,2023-10-27,Clear,Sakura,3,Razor Bite,Scaly Spear,Scarab,Cottontail,Aquatic,Plant,0xa00000000518213410442004148520c20c84190a1445100404a1284a00253088
11292195,0.0106,2023-10-27,Tricky,Gill,2,Razor Bite,Scaly Spear,Scarab,Cottontail,Reptile,Aquatic,0x50000000051c51011441080a1485214810a5214a144028cc04a5108200200802
11909892,0.0146,2023-10-27,Gero,Bubblemaker,2,Razor Bite,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa0000000053064111084094414832104106121421445114404a5104a0020088a
11339716,0.0120,2023-10-25,Sleepless,Leaf Bug,2,Razor Bite,Scaly Spear,Scarab,Cottontail,Aquatic,Bug,0x500000000514510110250848148109480485104a1445108604a1294800251802
11306162,0.0110,2023-10-24,Tricky,Friezard,6,Razor Bite,Scaly Spear,Scarab,Cottontail,Reptile,Reptile,0x5000000005145000144209441485210a144219441442094404a1284a00203042
11911657,0.0150,2023-10-24,Sleepless,Inkling,4,Razor Bite,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa0000000051cc113102110ca14822904108510c21445114a04a0084a00200844
11881779,0.0078,2023-10-23,Tricky,Bubblemaker,5,Razor Bite,Scaly Spear,Scarab,Cottontail,Reptile,Aquatic,0xa0000000061822141444090414852004106429061445114404a1284a00200802
11334621,0.0129,2023-10-22,Topaz,Friezard,0,Razor Bite,Scaly Spear,Scarab,Cottontail,Reptile,Reptile,0x500000000514500314a5114a14842904144311061441094404a5314600200802
11868728,0.0180,2023-10-21,Telescope,Bubblemaker,4,Razor Bite,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa00000000508c41310a008c8148520c21063214c1445114404a1284a00202888
11887945,0.0195,2023-10-21,Clear,Bubblemaker,5,Razor Bite,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa0000000061822131044088214852048106428c8144510c804a1284a00200802
11891496,0.0170,2023-10-20,Sleepless,Bubblemaker,4,Razor Bite,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa00000000c306142102110ca1482288a106429421445114404a0104a00200844
11868733,0.0100,2023-10-19,Clear,Sakura,3,Razor Bite,Scaly Spear,Scarab,Cottontail,Aquatic,Plant,0xa00000000518213410442004148520c20c84190a1445100404a1284a00253088
11875695,0.0100,2023-10-19,Papi,Bubblemaker,5,Razor Bite,Scaly Spear,Scarab,Cottontail,Plant,Aquatic,0xa00000000c14c3320c251144148520c21063210a1445114404a2188800200802
11875694,0.0090,2023-10-18,Little Peas,Sidebarb,5,Razor Bite,Scaly Spear,Scarab,Cottontail,Beast,Reptile,0xa000000006182234004511041483294814c419061445114404a1284a00200802
11891496,0.0095,2023-10-18,Sleepless,Bubblemaker,4,Razor Bite,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa00000000c306142102110ca1482288a106429421445114404a0104a00200844
11325094,0.0075,2023-10-17,Tricky,Lotus,0,Razor Bite,Scaly Spear,Scarab,Cottontail,Reptile,Plant,0x500000000714511114400844148521480cc321441445110204a5314c002518c8
11256920,0.0190,2023-10-17,Tricky,Sakura,6,Razor Bite,Scaly Spear,Scarab,Cottontail,Reptile,Plant,0x500000000514501014402944148229480c8429441440288404a1288200213002
11306162,0.0126,2023-10-17,Tricky,Friezard,6,Razor Bite,Scaly Spear,Scarab,Cottontail,Reptile,Reptile,0x5000000005145000144209441485210a144219441442094404a1284a00203042
11887943,0.0183,2023-10-16,Clear,Gill,5,Razor Bite,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa000000006182324104011421485214810a429061445114404a0204a00200802
11333998,0.0095,2023-10-13,Tricky,Friezard,5,Razor Bite,Scaly Spear,Scarab,Cottontail,Reptile,Reptile,0xa00000000c085324144410c214852144144331061445114404a1288800200802
11887943,0.0167,2023-10-13,Clear,Gill,5,Razor Bite,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa000000006182324104011421485214810a429061445114404a0204a00200802
11871740,0.0090,2023-10-12,Tricky,Bubblemaker,5,Razor Bite,Scaly Spear,Scarab,Cottontail,Reptile,Aquatic,0xa00000000c18c13414441002148521481065310c1445114404a1288800200888
11304024,0.0110,2023-10-12,Telescope,Tiny Fan,5,Razor Bite,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0x500000000608504110a4290214841044104429441445104804a1284a00200846
11306162,0.0115,2023-10-12,Tricky,Friezard,6,Razor Bite,Scaly Spear,Scarab,Cottontail,Reptile,Reptile,0x5000000005145000144209441485210a144219441442094404a1284a00203042
11321253,0.0130,2023-10-11,Tricky,Friezard,3,Razor Bite,Scaly Spear,Scarab,Cottontail,Reptile,Reptile,0x50000000071451031445108214852148144511061443094604a1290200203046
11344363,0.0090,2023-10-10,Bookworm,Friezard,1,Razor Bite,Scaly Spear,Scarab,Cottontail,Bug,Reptile,0x500000000514501004222944148521481445110a1445114404a1280a00200802
11878678,0.0127,2023-10-09,Sleepless,Inkling,2,Razor Bite,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0x500000000a147423102209441483290a108329061445114404a5104c00202104
11887945,0.0150,2023-10-09,Clear,Bubblemaker,5,Razor Bite,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0xa0000000061822131044088214852048106428c8144510c804a1284a00200802
11883560,0.0137,2023-10-09,Robin,Bubblemaker,4,Razor Bite,Scaly Spear,Scarab,Cottontail,Bird,Aquatic,0x400000000618603208a42904148520c2106418ca1445194404a5084a00200948
11304024,0.0080,2023-10-09,Telescope,Tiny Fan,5,Razor Bite,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0x500000000608504110a4290214841044104429441445104804a1284a00200846
11878678,0.0071,2023-10-08,Sleepless,Inkling,2,Razor Bite,Scaly Spear,Scarab,Cottontail,Aquatic,Aquatic,0x500000000a147423102209441483290a108329061445114404a5104c00202104
11871740,0.0088,2023-10-08,Tricky,Bubblemaker,5,Razor Bite,Scaly Spear,Scarab,Cottontail,Reptile,Aquatic,0xa00000000c18c13414441002148521481065310c1445114404a1288800200888
