axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11326692,0.0061,2023-11-12,Sleepless,Curly,5,Razor Bite,Scaly Spear,Scarab,Nimo,Aquatic,Bird,0xa00000000c1b1122102321081481094808a4190c1445108c04a1290410422904
11330068,0.0088,2023-10-26,Sleepless,Gill,5,Razor Bite,Scaly Spear,Scarab,Nimo,Aquatic,Aquatic,0xa000000008181411102220021483114a10a420c41441314404a1284a10400802
11326692,0.0055,2023-10-26,Sleepless,Curly,5,Razor Bite,Scaly Spear,Scarab,Nimo,Aquatic,Bird,0xa00000000c1b1122102321081481094808a4190c1445108c04a1290410422904
11891495,0.0079,2023-10-24,Sleepless,Gill,4,Razor Bite,Scaly Spear,Scarab,Nimo,Aquatic,Aquatic,0xa000000001306122102028441485208a10a5108c1443194404a1284a10400942
11326692,0.0074,2023-10-24,Sleepless,Curly,5,Razor Bite,Scaly Spear,Scarab,Nimo,Aquatic,Bird,0xa00000000c1b1122102321081481094808a4190c1445108c04a1290410422904
11330068,0.0088,2023-10-22,Sleepless,Gill,5,Razor Bite,Scaly Spear,Scarab,Nimo,Aquatic,Aquatic,0xa000000008181411102220021483114a10a420c41441314404a1284a10400802
11330068,0.0060,2023-10-22,Sleepless,Gill,5,Razor Bite,Scaly Spear,Scarab,Nimo,Aquatic,Aquatic,0xa000000008181411102220021483114a10a420c41441314404a1284a10400802
11891498,0.0075,2023-10-20,Kotaro?,Bubblemaker,3,Razor Bite,Scaly Spear,Scarab,Nimo,Bug,Aquatic,0x500000000c14743204a52044148310ca10632944144420c604a130c410450904
11335231,0.0080,2023-10-19,Telescope,Gill,5,Razor Bite,Scaly Spear,Scarab,Nimo,Aquatic,Aquatic,0xa00000003130642110a320481481084810a429041445104c04a1284a10441002
11326692,0.0066,2023-10-18,Sleepless,Curly,5,Razor Bite,Scaly Spear,Scarab,Nimo,Aquatic,Bird,0xa00000000c1b1122102321081481094808a4190c1445108c04a1290410422904
11343407,0.0060,2023-10-16,Mavis,Bubblemaker,5,Razor Bite,Scaly Spear,Scarab,Nimo,Bird,Aquatic,0xa00000000c1454110823094414852108106121421445108a04a128c610400846
11343407,0.0100,2023-10-16,Mavis,Bubblemaker,0,Razor Bite,Scaly Spear,Scarab,Nimo,Bird,Aquatic,0xa00000000c1454110823094414852108106121421445108a04a128c610400846
11339467,0.0100,2023-10-16,Tricky,Bubblemaker,3,Razor Bite,Scaly Spear,Scarab,Nimo,Reptile,Aquatic,0xa00000000c04c12214432844148520c4106231441444214404a1280c10441142
11335226,0.0074,2023-10-16,Telescope,Gill,4,Razor Bite,Scaly Spear,Scarab,Nimo,Aquatic,Aquatic,0xa00000000120621210a309021485214810a411061443108604a1284a10441102
