axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11885671,0.0059,2023-11-13,Blossom,Sakura,2,Goda,Scaly Spear,Sandal,Cattail,Plant,Plant,0xa00000000b2c24340ca30888004010040c811084144510480480100a0c431004
11871271,0.0040,2023-11-13,Gero,Nut Cracker,4,Goda,Scaly Spear,Sandal,Cattail,Aquatic,Beast,0xa00000000b0c3242108410c2004010040045314414451144048328ca0c4310c4
11906374,0.0048,2023-11-13,Chubby,Rosa,2,Goda,Scaly Spear,Sandal,Cattail,Beast,Plant,0xa0000000012cb24200a00888004228040c651084144121440481200a0c4310c4
11307511,0.0043,2023-11-13,Confused,Swirl,4,Goda,Scaly Spear,Sandal,Cattail,Plant,Reptile,0x30000000030c32220c42204a0043100414a528c414451084048330480c4308c4
11871559,0.0043,2023-11-13,Confused,Sidebarb,4,Goda,Scaly Spear,Sandal,Cattail,Plant,Reptile,0x400000000b8413430c44088a004010c814c518cc144511440481200a0c431088
11332763,0.0100,2023-11-12,Robin,Sakura,2,Goda,Scaly Spear,Sandal,Cattail,Bird,Plant,0xa00000000534502408a208c2004108c40c85114a144510440481204a0c4508c4
11873890,0.0055,2023-11-12,Gecko,Rosa,5,Goda,Scaly Spear,Sandal,Cattail,Reptile,Plant,0xa00000000604c324142508c4004010040c65214a14411848048218440c4310c4
11891115,0.0055,2023-11-12,Clear,Clover,1,Goda,Scaly Spear,Sandal,Cattail,Aquatic,Plant,0xa00000000b2cb22310400802004010040c413108144109480485088c0c431048
11917662,0.0063,2023-11-12,Clear,Friezard,2,Goda,Scaly Spear,Sandal,Cattail,Aquatic,Reptile,0xa00000000d2cb24210402888004120ca14422884144111440481200a0c4310c4
11344431,0.0047,2023-11-11,Neo,Peace Maker,3,Goda,Scaly Spear,Sandal,Cattail,Bug,Bird,0xa0000000042c4323044420c2004010040883290814451008048321060c4310c4
11345508,0.0052,2023-11-11,Topaz,Sakura,1,Goda,Scaly Spear,Sandal,Cattail,Reptile,Plant,0xa00000000b08422214a42904004528820c8428421445114a048120080c4310c4
11346440,0.0045,2023-11-11,Gecko,Belieber,2,Goda,Scaly Spear,Sandal,Cattail,Reptile,Beast,0xa00000000d041422142321080040100400c3114c14452144048118480c4310c4
11889297,0.0058,2023-11-11,Robin,Friezard,0,Goda,Scaly Spear,Sandal,Cattail,Bird,Reptile,0xa00000000308b24208a30944004010ca1444288a14451086048120c80c4310c4
11884403,0.0032,2023-11-10,Lucas,Leafy,1,Goda,Scaly Spear,Sandal,Cattail,Bird,Plant,0x300000000210b434084310ca004328020c20114c14412846048330480c431088
11917664,0.0056,2023-11-10,Blossom,Nimo,2,Goda,Scaly Spear,Sandal,Cattail,Plant,Aquatic,0xa0000000012cb2240ca3280a004010041023084c144511080480310c0c4310c4
11917665,0.0056,2023-11-10,Blossom,Early Bird,2,Goda,Scaly Spear,Sandal,Cattail,Plant,Bird,0xa00000000b2cb2220ca3088800401004084210c2144511440480280a0c431102
11906375,0.0054,2023-11-10,Little Owl,Leafy,2,Goda,Scaly Spear,Sandal,Cattail,Bird,Plant,0xa0000000012cb2420883080a004010040c2210c2144511440480300a0c4310c4
11915417,0.0063,2023-11-10,Sleepless,Small Frill,2,Goda,Scaly Spear,Sandal,Cattail,Aquatic,Reptile,0xa00000002184122210231102004010ca148128cc14420948048030480c431104
11314389,0.0030,2023-11-09,Papi,Sakura,4,Goda,Scaly Spear,Sandal,Cattail,Plant,Plant,0x30000000040c33420c252148004010840c842846144118ca048130480c431048
11327982,0.0039,2023-11-09,Papi,Rosa,4,Goda,Scaly Spear,Sandal,Cattail,Plant,Plant,0xa00000000b0812220c210908004010040c6130c814451042048509480c4410c4
11336976,0.0020,2023-11-09,Scar,Tiny Fan,5,Goda,Scaly Spear,Sandal,Cattail,Reptile,Aquatic,0xa00000000b2cd4421485200a004010421045110c14412882048008480c43108c
11309884,0.0034,2023-11-09,Neo,Rosa,4,Goda,Scaly Spear,Sandal,Cattail,Bug,Plant,0x300000000b0c343304430944004508040c6130c814431144048410480c4310c4
11884633,0.0070,2023-11-09,Cucumber Slice,Sidebarb,4,Goda,Scaly Spear,Sandal,Cattail,Plant,Reptile,0xa00000000b2cb2320c8328020040108a14c3194c14421808048028480c4310c4
11877935,0.0031,2023-11-09,Confused,Swirl,3,Goda,Scaly Spear,Sandal,Cattail,Plant,Reptile,0x30000000048414430c421008004010ca14a5180414451144048120840c431088
11329292,0.0045,2023-11-08,Cucumber Slice,Rosa,0,Goda,Scaly Spear,Sandal,Cattail,Plant,Plant,0xa00000000410a2220c810842004010040c62114414442944048010480c4310c4
11342146,0.0045,2023-11-08,Papi,Rosa,4,Goda,Scaly Spear,Sandal,Cattail,Plant,Plant,0xa0000000040b14440c20108a004528040c6330c8144510c8048121080c4310c4
11906532,0.0045,2023-11-07,Confused,Curved Spine,3,Goda,Scaly Spear,Sandal,Cattail,Plant,Reptile,0xa0000000210a12220c4408c4004010041465214614440844048120480c4310c4
11338780,0.0030,2023-11-07,Bookworm,Risky Bird,2,Goda,Scaly Spear,Sandal,Cattail,Bug,Bird,0xa00000000104b343042308840040114808c12044144208460481208c0c402904
11873890,0.0025,2023-11-06,Gecko,Rosa,5,Goda,Scaly Spear,Sandal,Cattail,Reptile,Plant,0xa00000000604c324142508c4004010040c65214a14411848048218440c4310c4
11873890,0.0045,2023-11-06,Gecko,Rosa,5,Goda,Scaly Spear,Sandal,Cattail,Reptile,Plant,0xa00000000604c324142508c4004010040c65214a14411848048218440c4310c4
