axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11348886,0.0085,2023-10-24,Blossom,Leafy,4,Goda,Scaly Spear,Timber,Cattail,Plant,Plant,0xa0000000040cb2440ca00884004010040c2528cc1445114400a028480c43100a
11906075,0.0090,2023-10-23,Telescope,Lotus,3,Goda,Scaly Spear,Timber,Cattail,Aquatic,Plant,0xa00000000534b24410a02088004010040cc4110a1445094400a1200a0c4310c4
11881799,0.0200,2023-10-23,Little Owl,Gill,3,Goda,Scaly Spear,Timber,Cattail,Bird,Aquatic,0xa00000000b2cb4440884294a0045108a10a428861445094400a120480c431004
11906371,0.0095,2023-10-23,Zeal,Nimo,2,Goda,Scaly Spear,Timber,Cattail,Beast,Aquatic,0xa00000000b78b2420025108800450804102308881441190800a0288c0c431088
11910752,0.0220,2023-10-23,Telescope,Gill,3,Goda,Scaly Spear,Timber,Cattail,Aquatic,Aquatic,0xa00000000b2c344210a4290a0040114210a328c81443094200a220480c4310c4
11895698,0.0100,2023-10-22,Papi,Gill,0,Goda,Scaly Spear,Timber,Cattail,Plant,Aquatic,0xa00000000b2cb4220c24290a0045090210a428c81445114600a121440c4520c4
11882755,0.0080,2023-10-22,Telescope,Sidebarb,2,Goda,Scaly Spear,Timber,Cattail,Aquatic,Reptile,0xa00000000430b24210a20804004010ca14c510c41445114800a328480c4310c4
11878609,0.0100,2023-10-21,Blossom,Friezard,2,Goda,Scaly Spear,Timber,Cattail,Plant,Reptile,0xa00000000b2cb4230ca3080200401004144328821445114400a008480c421846
11888766,0.0239,2023-10-20,Telescope,Gill,3,Goda,Scaly Spear,Timber,Cattail,Aquatic,Aquatic,0xa00000000b2cb22410a429020045084410a431081442308800a1208c0c431004
11906075,0.0160,2023-10-20,Telescope,Lotus,0,Goda,Scaly Spear,Timber,Cattail,Aquatic,Plant,0xa00000000534b24410a02088004010040cc4110a1445094400a1200a0c4310c4
11898458,0.0150,2023-10-20,Gecko,Nimo,3,Goda,Scaly Spear,Timber,Cattail,Reptile,Aquatic,0xa00000000b78b34314232944004010041021204c1444214400a0288c0c4310c4
11898461,0.0192,2023-10-20,Sleepless,Nimo,4,Goda,Scaly Spear,Timber,Cattail,Aquatic,Aquatic,0xa00000000b7844321025090400401082102409021442194400a120480c431008
11895741,0.0180,2023-10-19,Telescope,Gill,4,Goda,Scaly Spear,Timber,Cattail,Aquatic,Aquatic,0xa00000000b2cb22210a429020040104410a429081441314400a220480c43108c
11904693,0.0150,2023-10-19,Gecko,Rosa,0,Goda,Scaly Spear,Timber,Cattail,Reptile,Plant,0xa00000000408b24214232884004010c20c6310ca1445104600a128480c4128c4
11872019,0.0200,2023-10-18,Clear,Sakura,0,Goda,Scaly Spear,Timber,Cattail,Aquatic,Plant,0xa00000000b04c114104310c8004010480c8420c41441188c00a419060c4310c4
11902960,0.0180,2023-10-18,Telescope,Gill,4,Goda,Scaly Spear,Timber,Cattail,Aquatic,Aquatic,0xa00000000b2cb22210a4090a0040110210a428c81445114200a220480c4310c4
11873302,0.0095,2023-10-14,Blossom,Leafy,4,Goda,Scaly Spear,Timber,Cattail,Plant,Plant,0xa00000000b2cb2230ca30802004010040c2428ca1445114400a0080a0c431088
11897073,0.0100,2023-10-13,Gecko,Early Bird,3,Goda,Scaly Spear,Timber,Cattail,Reptile,Bird,0xa000000002104424142210c200450804084310ca1445104600a1200a0c4320c4
11895680,0.0270,2023-10-13,Telescope,Gill,4,Goda,Scaly Spear,Timber,Cattail,Aquatic,Aquatic,0xa00000000b2cb24210a4290a0040110210a428c81445114200a0280a0c4428c4
11888774,0.0295,2023-10-10,Telescope,Gill,4,Goda,Scaly Spear,Timber,Cattail,Aquatic,Aquatic,0xa00000000b2cb24410a2210a0045100410a428c81445114200a120480c4520c4
11867891,0.0150,2023-10-10,Cucumber Slice,Friezard,3,Goda,Scaly Spear,Timber,Cattail,Plant,Reptile,0xa00000000d2cb4430c8328020040108a144510cc144230c400a030480c43104c
11891109,0.0190,2023-10-09,Gecko,Friezard,4,Goda,Scaly Spear,Timber,Cattail,Reptile,Reptile,0xa00000000b2cb34214232944004010041442104c1445114400a120480c431008
11872019,0.0207,2023-10-08,Clear,Sakura,0,Goda,Scaly Spear,Timber,Cattail,Aquatic,Plant,0xa00000000b04c114104310c8004010480c8420c41441188c00a419060c4310c4
11888781,0.0295,2023-10-07,Telescope,Nimo,3,Goda,Scaly Spear,Timber,Cattail,Aquatic,Aquatic,0xa00000000b2de24210a3200a0043210a1022190a1445114400a2308c0c43114a
11881799,0.0300,2023-10-06,Little Owl,Gill,3,Goda,Scaly Spear,Timber,Cattail,Bird,Aquatic,0xa00000000b2cb4440884294a0045108a10a428861445094400a120480c431004
11881790,0.0315,2023-10-05,Telescope,Gill,4,Goda,Scaly Spear,Timber,Cattail,Aquatic,Aquatic,0xa00000000b2cb22210a321020040104410a418861441314400a2300a0c4310c4
11884634,0.0106,2023-10-05,Blossom,Friezard,3,Goda,Scaly Spear,Timber,Cattail,Plant,Reptile,0xa00000000b2cb4230ca0084800401004144308841445114400a120480c4218c4
11879034,0.0100,2023-10-05,Blossom,Leafy,3,Goda,Scaly Spear,Timber,Cattail,Plant,Plant,0xa00000000b2cb2230ca00802004011080c2131441445104800a1208c0c4310c4
11345592,0.0114,2023-10-05,Zeal,Sakura,1,Goda,Scaly Spear,Timber,Cattail,Beast,Plant,0xa0000000042c344200230948004320040c83180a1442304a00a1200a0c4020c4
11871727,0.0242,2023-10-04,Little Owl,Gill,3,Goda,Scaly Spear,Timber,Cattail,Bird,Aquatic,0xa00000000b0cb444088410c80043294410a429021445104c00a120480c4310c4
11884639,0.0111,2023-10-04,Blossom,Clover,3,Goda,Scaly Spear,Timber,Cattail,Plant,Plant,0xa00000000b2cb2230ca00802004011080c43084c1445114800a5088c0c4310c4
11875709,0.0244,2023-10-04,Little Owl,Gill,3,Goda,Scaly Spear,Timber,Cattail,Bird,Aquatic,0xa00000000b2c34440883210a0045088810a429021445114400a120480c4310c4
11872019,0.0200,2023-10-04,Clear,Sakura,0,Goda,Scaly Spear,Timber,Cattail,Aquatic,Plant,0xa00000000b04c114104310c8004010480c8420c41441188c00a419060c4310c4
11866831,0.0100,2023-10-03,Zeal,Clover,2,Goda,Scaly Spear,Timber,Cattail,Beast,Plant,0xa0000000032cd442002528c20043108a0c4030cc1443114400a120480c4310c8
11873294,0.0099,2023-10-03,Blossom,Friezard,2,Goda,Scaly Spear,Timber,Cattail,Plant,Reptile,0xa00000000d34b2330ca21002004010c81444214c144308c600a120020c43110a
11881816,0.0309,2023-10-03,Telescope,Gill,4,Goda,Scaly Spear,Timber,Cattail,Aquatic,Aquatic,0xa00000000b2c344210a220c80045088a10a4210c1445114400a120480c431004
11879034,0.0090,2023-10-03,Blossom,Leafy,3,Goda,Scaly Spear,Timber,Cattail,Plant,Plant,0xa00000000b2cb2230ca00802004011080c2131441445104800a1208c0c4310c4
11881799,0.0250,2023-10-03,Little Owl,Gill,3,Goda,Scaly Spear,Timber,Cattail,Bird,Aquatic,0xa00000000b2cb4440884294a0045108a10a428861445094400a120480c431004
