axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
11340159,0.00999,2,Angasamo | dpSer,0.00999,0.00000,0
11871735,0.01000,5,Lunge | LF Guild,0.01000,0.00000,0
11881757,0.01000,0, TEMPLAR,0.01800,0.01000,864000
11369461,0.01000,4,Brutfarm Juilo & Hendrik,0.01000,0.00000,0
11327924,0.01100,4,<#696969>Heisenberg,0.01100,0.00000,0
11881769,0.01200,0, TEMPLAR,0.02000,0.01200,864000
11881748,0.01200,0, TEMPLAR,0.02000,0.01200,864000
11339211,0.01340,4,Wuu.,0.01340,0.00000,0
11333998,0.01400,5,twitter: @rmljr_ | LFG,0.01400,0.00000,0
11344075,0.01400,2,Daniel Arenas,0.01400,0.00000,0
11881781,0.01500,0, TEMPLAR,0.02000,0.01500,864000
11881777,0.01500,0, TEMPLAR,0.02000,0.01500,864000
11881751,0.01500,0, TEMPLAR,0.02000,0.01500,864000
11881771,0.01500,0, TEMPLAR,0.02000,0.01500,864000
11871732,0.01700,5,FB: CYRELLE,0.01700,0.00000,0
11887941,0.01777,0,Lunge | LF Guild,0.02000,0.01400,2592000
11881761,0.01814,0,Lunge | LF Guild,0.02000,0.01500,2592000
11881767,0.01814,0,Lunge | LF Guild,0.02000,0.01500,2592000
11887944,0.01814,0,Lunge | LF Guild,0.02000,0.01500,2592000
11887942,0.01814,0,Lunge | LF Guild,0.02000,0.01500,2592000
11902589,0.01838,0,Lunge | LF Guild,0.02000,0.01500,1296000
11881768,0.01904,0,Lunge | LF Guild,0.02000,0.01500,2592000
11924644,0.01925,0,Lunge | LF Guild,0.02000,0.01499,1296000
11924621,0.01963,0,Lunge | LF Guild,0.02000,0.01499,2592000
11924617,0.01963,0,Lunge | LF Guild,0.02000,0.01499,2592000
11902593,0.01999,0,Lunge | LF Guild,0.01999,0.00000,0
11902591,0.01999,0,Lunge | LF Guild,0.01999,0.00000,0
11338183,0.02000,4,Long Bát,0.30000,0.02000,1036800
11341509,0.02000,0,Long Bát,0.30000,0.02000,1036800
11891496,0.02020,4,Rhygenald ,0.02100,0.02000,432000
11329519,0.02300,5,Yitan,0.02300,0.00000,0
11914878,0.02505,0,Putchi,0.02505,0.00000,0
11334696,0.02690,5,c9paperts,0.02690,0.00000,0
11924619,0.02850,0,Lunge | LF Guild,0.03000,0.01000,2592000
11354385,0.04500,3,WHIROTZY,0.04500,0.00000,0
11349248,0.05000,3,JaraguaGecko#11,0.30000,0.05000,172800
11331589,0.05000,4,Youtube.com/@BlueBirdAxie,0.05000,0.00000,0
11348601,0.05000,0,MichaelBalangatan|Tiktok,0.05000,0.00000,0
11330285,0.07300,4,🔱 Frozt |01| NFGz Warlords,0.07300,0.00000,0
11341514,0.08000,0,MhacJhon,0.08000,0.00000,0
11303262,0.09800,5,Kuruchimaru,0.09800,0.00000,0
11311906,0.10000,5,AllAxies4Sale - Send offers,0.10000,0.00000,0
11350826,0.50000,1,Lunacian #25644787,0.30000,0.50000,2592000
