axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11882129,0.0062,2023-10-22,Telescope,Bubblemaker,3,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000001e78232410a4110a1044090a1064180c00c0310404a0284410442104
11901241,0.0084,2023-10-21,Clear,Bubblemaker,3,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000c7823241044290a104410421062180c00c0310404a0280a10441104
11882129,0.0075,2023-10-13,Telescope,Bubblemaker,3,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000001e78232410a4110a1044090a1064180c00c0310404a0284410442104
11874966,0.0077,2023-10-09,Mavis,Bubblemaker,2,Catfish,Arco,Scarab,Nimo,Bird,Aquatic,0x400000001e09e3240824110a1044290a1064180c00c0300c04a2080a10432104
11874967,0.0080,2023-10-09,Clear,Bubblemaker,0,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000c79e2331044110a1044110a1062180400c508c204a12848104320c2
11127624,0.0085,2023-10-09,Lucas,Gill,3,Catfish,Arco,Scarab,Nimo,Bird,Aquatic,0x40000000061862220844290a1044290a10a4090800c0300804a1284a10441104
11085677,0.0100,2023-10-09,Sleepless,Gill,3,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000c181322102411081044210810a4284800c0300c04a1284a1044100c
11080757,0.0110,2023-10-09,Gero,Inkling,0,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x40000000060c6223108421041044290a1084294200c4284a04a008c210441086
11178910,0.0150,2023-10-09,Gero,Peace Maker,0,Catfish,Arco,Scarab,Nimo,Aquatic,Bird,0x400000000c18c23210840908104420ca0882204800c030c204a128481043114a
11332070,0.0055,2023-09-30,Clear,Inkling,3,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x4000000005146222104220ca1044290a1084210a00c2100c04a128021044100c
11874966,0.0054,2023-09-29,Mavis,Bubblemaker,2,Catfish,Arco,Scarab,Nimo,Bird,Aquatic,0x400000001e09e3240824110a1044290a1064180c00c0300c04a2080a10432104
11132257,0.0075,2023-09-26,Sleepless,Bubblemaker,2,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000c20633010242144104420c41064210800c0300c04a1284a10441004
11132257,0.0070,2023-09-21,Sleepless,Bubblemaker,2,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000c20633010242144104420c41064210800c0300c04a1284a10441004
11085677,0.0075,2023-09-16,Sleepless,Gill,3,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000c181322102411081044210810a4284800c0300c04a1284a1044100c
10912843,0.0100,2023-09-07,Gero,Gill,2,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x4000000006201220108411081044294210a0210800c2280c04a4280610403004
11332070,0.0040,2023-09-04,Clear,Inkling,3,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x4000000005146222104220ca1044290a1084210a00c2100c04a128021044100c
11231875,0.0060,2023-09-04,Sleepless,Seaslug,0,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000818c022102528481044290a10c0210a00c0310a04a1294a10441104
11132257,0.0050,2023-09-01,Sleepless,Bubblemaker,2,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000c20633010242144104420c41064210800c0300c04a1284a10441004
11085677,0.0059,2023-09-01,Sleepless,Gill,3,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000c181322102411081044210810a4284800c0300c04a1284a1044100c
11132257,0.0020,2023-08-26,Sleepless,Bubblemaker,2,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000c20633010242144104420c41064210800c0300c04a1284a10441004
11085677,0.0055,2023-08-24,Sleepless,Gill,3,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000c181322102411081044210810a4284800c0300c04a1284a1044100c
10057409,0.0052,2023-08-22,Telescope,Tiny Fan,3,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000c18622110a22908104421081045290a00c0300c04a1284a10442904
11073591,0.0050,2023-08-20,Clear,Inkling,3,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000620642010442904104421081084184c00c2300c04a1284a10441104
11231875,0.0043,2023-08-19,Sleepless,Seaslug,0,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000818c022102528481044290a10c0210a00c0310a04a1294a10441104
11213098,0.0050,2023-08-16,Clear,Inkling,0,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x4000000008301122104410881044210a108428c400c0300c04a1284a1042314c
11332070,0.0030,2023-08-08,Clear,Inkling,3,Catfish,Arco,Scarab,Nimo,Aquatic,Aquatic,0x4000000005146222104220ca1044290a1084210a00c2100c04a128021044100c
