axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
11241084,0.00400,1,tico,0.00400,0.00000,0
10894944,0.00490,5,Wis,0.00490,0.00000,0
10463579,0.00523,3,Wiellan Sanchez,0.00523,0.00000,0
10742246,0.00590,4,MOOGS,0.00590,0.00000,0
11226766,0.00610,4,Renx,0.00610,0.00000,0
11227475,0.00730,3,LEE JUTAI 💖💖💖,0.00730,0.00000,0
11115011,0.00900,3,PRINCIPAL SANDO ,0.00900,0.00000,0
11048488,0.00900,0,EXIST | EXI$T,0.00900,0.00000,0
10810297,0.00900,3,I gotta Rest,0.00900,0.00000,0
11513844,0.00950,0,Metalera,0.00950,0.00000,0
11284496,0.01000,3,Kyu,0.01000,0.00000,0
11097727,0.01000,3,Cheszxc,0.01000,0.00000,0
11292422,0.01000,2,rL#3,0.03000,0.01000,259200
11079584,0.01100,4,account#3,0.01100,0.00000,0
11348092,0.01100,0,Plavi | Scholar 3,0.01100,0.00000,0
11032059,0.01400,4,Jijay,0.01400,0.00000,0
11079455,0.01500,4,GOINGs Sakalam,0.01500,0.00000,0
11087901,0.01600,2,Trezor #4292331,0.01600,0.00000,0
11114568,0.01900,3,Chomp Poor Rad dough,0.01900,0.00000,0
9400663,0.02500,4,Gil,0.02500,0.00000,0
11247377,0.03000,2,TrezorYiyo89cr,0.05000,0.03000,432000
11274945,0.03500,0, *Radsody*,0.03500,0.00000,0
10905475,0.03750,4,MRCVL | Paul (Mikaa),0.03750,0.00000,0
11010494,0.03800,0,Raptor | Kraken,0.03800,0.00000,0
11078169,0.04200,0,LELE 22,0.04200,0.00000,0
11319762,0.05000,2,JAES,0.05000,0.00000,0
11123000,0.05000,0,Creativechef,0.05000,0.00000,0
10631540,0.05300,5,Ampao | Siopao Axies,0.05300,0.00000,0
6383912,0.06000,5,Naitsyrhk,0.06000,0.00000,0
11247340,0.10000,0,Lunacian,0.10000,0.00000,0
11176544,0.10000,3,Schuelbos,0.10000,0.00000,0
11066158,0.20000,2,Stoku ,0.20000,0.00000,0
11188163,0.50000,3,Ando,0.50000,0.00000,0
