axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11151199,0.0034,2023-10-26,Telescope,Gill,3,Lam,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000618622410a4290a1024110410a5310a00c0304204a1284a10441104
10546566,0.0050,2023-10-14,Gero,Nimo,5,Lam,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000818632310840908102420841024214600c0300c04a3090410441104
11268516,0.0060,2023-10-13,Telescope,Nimo,4,Lam,Arco,Scarab,Nimo,Aquatic,Aquatic,0x40000000060de42410a42888102428881022314400c0308a04a1284810441104
11225114,0.0051,2023-10-11,Telescope,Peace Maker,0,Lam,Arco,Scarab,Nimo,Aquatic,Bird,0x400000000378612310a111081022110a0884208200c528c604a1284a10442104
11232266,0.0070,2023-10-09,Little Owl,Seaslug,2,Lam,Arco,Scarab,Nimo,Bird,Aquatic,0x400000000618c0230883290a1022108410c2210800c0300c04a1290210441102
11268516,0.0052,2023-10-09,Telescope,Nimo,2,Lam,Arco,Scarab,Nimo,Aquatic,Aquatic,0x40000000060de42410a42888102428881022314400c0308a04a1284810441104
11225114,0.0063,2023-10-06,Telescope,Peace Maker,0,Lam,Arco,Scarab,Nimo,Aquatic,Bird,0x400000000378612310a111081022110a0884208200c528c604a1284a10442104
11114574,0.0037,2023-10-06,Clear,Pink Cheek,4,Lam,Arco,Scarab,Nimo,Aquatic,Bird,0x400000000914520310441108102429080823308800c5280c04a1104a10441044
11009266,0.0057,2023-10-02,Gero,Gill,4,Lam,Arco,Scarab,Nimo,Aquatic,Aquatic,0x4000000006188230108420c21023110810a4208a00c0308604a5080410450904
11114568,0.0052,2023-10-02,Clear,Pink Cheek,3,Lam,Arco,Scarab,Nimo,Aquatic,Bird,0x40000000051452231044110a102408c40822208800c3294a04a1284410411104
11227475,0.0050,2023-09-27,Gero,Inkling,3,Lam,Arco,Scarab,Nimo,Aquatic,Aquatic,0x4000000008186232108328821024290a1085210a00c0310604a1294a10441104
10546566,0.0060,2023-09-25,Gero,Nimo,5,Lam,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000818632310840908102420841024214600c0300c04a3090410441104
10019132,0.0058,2023-09-21,Clear,Curly,3,Lam,Arco,Scarab,Nimo,Aquatic,Bird,0x400000000c30c222104411041024090808a428c800c4180c04a3190610441104
11097727,0.0063,2023-09-15,Clear,Gill,3,Lam,Arco,Scarab,Nimo,Aquatic,Aquatic,0x4000000006286312104409041023214810a4204400c0280c04a1288810441104
11226766,0.0061,2023-09-14,Sleepless,Inkling,4,Lam,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000528820110242108102408c81081210800c0300c04a1284a10441104
11268516,0.0050,2023-09-13,Telescope,Nimo,2,Lam,Arco,Scarab,Nimo,Aquatic,Aquatic,0x40000000060de42410a42888102428881022314400c0308a04a1284810441104
11114574,0.0040,2023-09-12,Clear,Pink Cheek,4,Lam,Arco,Scarab,Nimo,Aquatic,Bird,0x400000000914520310441108102429080823308800c5280c04a1104a10441044
10546566,0.0048,2023-09-11,Gero,Nimo,5,Lam,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000818632310840908102420841024214600c0300c04a3090410441104
10463573,0.0050,2023-09-10,Clear,Bubblemaker,3,Lam,Arco,Scarab,Nimo,Aquatic,Aquatic,0x4000000001201422104411081024090a1060210800c5310a04a0200810441104
