axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11308803,0.0062,2023-11-03,Telescope,Seaslug,3,Piranha,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000d18822210a4290a10a5210a10c4208400c0300c04a1284a10432144
11318141,0.0042,2023-11-02,Gero,Inkling,3,Piranha,Arco,Scarab,Nimo,Aquatic,Aquatic,0x40000000030c62221084110410a2210a1084210a00c318c204a1284a10441088
11318141,0.0020,2023-11-02,Gero,Inkling,3,Piranha,Arco,Scarab,Nimo,Aquatic,Aquatic,0x40000000030c62221084110410a2210a1084210a00c318c204a1284a10441088
10982083,0.0076,2023-11-02,Clear,Peace Maker,6,Piranha,Arco,Scarab,Nimo,Aquatic,Bird,0x400000000d245032104428ca10a4210a0884210800c1280c04a1284a10441104
11290359,0.0063,2023-11-02,Mavis,Tiny Fan,1,Piranha,Arco,Scarab,Nimo,Bird,Aquatic,0x40000000210463000825080210a428c81041284a00c0300c04a12842104410c8
11212869,0.0064,2023-11-02,Telescope,Nimo,3,Piranha,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000120800210a4210410a4290a1023204200c4300804a2184a10441104
11212869,0.0060,2023-11-01,Telescope,Nimo,3,Piranha,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000120800210a4210410a4290a1023204200c4300804a2184a10441104
11303184,0.0065,2023-11-01,Telescope,Owl,3,Piranha,Arco,Scarab,Nimo,Aquatic,Bird,0x40000000032cb22410a0094410a4290a0861284600c0300c04a1284a10441104
11295163,0.0046,2023-11-01,Telescope,Owl,0,Piranha,Arco,Scarab,Nimo,Aquatic,Bird,0x400000001e79e32210a4110a10a4290a0864308600c2100c04a1284a10441104
11295163,0.0008,2023-11-01,Telescope,Owl,0,Piranha,Arco,Scarab,Nimo,Aquatic,Bird,0x400000001e79e32210a4110a10a4290a0864308600c2100c04a1284a10441104
11212869,0.0050,2023-11-01,Telescope,Nimo,3,Piranha,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000120800210a4210410a4290a1023204200c4300804a2184a10441104
10982083,0.0020,2023-11-01,Clear,Peace Maker,6,Piranha,Arco,Scarab,Nimo,Aquatic,Bird,0x400000000d245032104428ca10a4210a0884210800c1280c04a1284a10441104
11302855,0.0035,2023-11-01,Telescope,Nimo,4,Piranha,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000d34d22210a4290a10a4210a1024310800c0304804a1284a1044314c
11338531,0.0032,2023-10-31,Sleepless,Inkling,3,Piranha,Arco,Scarab,Nimo,Aquatic,Aquatic,0x4000000008186222102408c410a421481083104200c0300c04a5104a10441104
11287415,0.0059,2023-10-31,Sleepless,Inkling,3,Piranha,Arco,Scarab,Nimo,Aquatic,Aquatic,0x40000000030cc223102428c810a429021082210a00c0300c04a1290210441104
11287415,0.0046,2023-10-30,Sleepless,Inkling,3,Piranha,Arco,Scarab,Nimo,Aquatic,Aquatic,0x40000000030cc223102428c810a429021082210a00c0300c04a1290210441104
11319911,0.0050,2023-10-29,Telescope,Peace Maker,3,Piranha,Arco,Scarab,Nimo,Aquatic,Bird,0x400000000c0c522310a4110410a429080884308800c0300c04a12888104410ca
11288641,0.0040,2023-10-27,Gero,Bubblemaker,2,Piranha,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000000c0c12031084288410a4210a1061080a00c5100c04a1284a10433104
11343673,0.0064,2023-10-27,Telescope,Inkling,2,Piranha,Arco,Scarab,Nimo,Aquatic,Aquatic,0x400000001e86122210a4290a10a428041084210200c2280c04a128c8104408ca
