axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
11332600,0.00820,3,Seph haha,0.00820,0.00000,0
11874688,0.00900,4,Shirou,0.00900,0.00000,0
11321909,0.00900,3,tico,0.00900,0.00000,0
11893085,0.00900,0,ACCEPT OFFER PLEASE,0.00900,0.00000,0
11890367,0.00999,4,Lunge | LF Guild,0.00999,0.00000,0
11863327,0.01000,4,Ndar | YGG | Axie.gg,0.01000,0.00000,0
11887063,0.01000,1,ForMyDreamTeam,0.01000,0.00000,0
11348648,0.01140,0,tweaker,0.01140,0.00000,0
11908213,0.01200,2,Amiel Tubig Trinidad,0.01200,0.00000,0
11908211,0.01200,0,KUKULITNIYO,0.01200,0.00000,0
11347104,0.01200,3,tweaker,0.01200,0.00000,0
11348649,0.01200,0,tweaker,0.01200,0.00000,0
11347101,0.01230,3,tweaker,0.01230,0.00000,0
11880988,0.01240,0,(っ◔◡◔)っOFFERCanicoreX/Discord,0.01240,0.00000,0
11347098,0.01260,3,tweaker,0.01260,0.00000,0
11345034,0.01260,3,tweaker,0.01260,0.00000,0
11874685,0.01280,4,Wis,0.01280,0.00000,0
11894655,0.01358,0,Axel,0.01300,0.01400,86400
11307117,0.01360,4,Axie to the moon,0.01360,0.00000,0
11348653,0.01380,0,tweaker,0.01380,0.00000,0
11348733,0.01413,0,SARAFIN,0.01300,0.01500,86400
11872873,0.01450,0,FB: Paul Escaño,0.01450,0.00000,0
11897300,0.01480,0,🐺WILD HUNT🐺,0.01480,0.00000,0
11347107,0.01500,2,tweaker,0.01500,0.00000,0
11348645,0.01500,0,tweaker,0.01500,0.00000,0
11222412,0.01500,3,Axie Buff,0.01500,0.00000,0
11880129,0.01570,0,ERA6 I sak.gg,0.01570,0.00000,0
11348647,0.01600,0,tweaker,0.01600,0.00000,0
11204005,0.01700,4,AllAxies4Sale - Send offers,0.01700,0.00000,0
11348650,0.01920,0,tweaker,0.01920,0.00000,0
11880130,0.01990,0,ERA6 I sak.gg,0.01990,0.00000,0
11319464,0.02000,0,Long Bát,0.30000,0.02000,1209600
11319461,0.02000,0,Long Bát,0.30000,0.02000,1209600
11313877,0.02000,4,Long Bát,0.30000,0.02000,1209600
11859026,0.02000,3,Accept mah offer mah Friend,0.02000,0.00000,0
11341661,0.02000,1,Smurky,0.02000,0.00000,0
11281759,0.02000,2,-BAIT-,0.02000,0.00000,0
11348642,0.02520,0,tweaker,0.02520,0.00000,0
11347100,0.02700,3,tweaker,0.02700,0.00000,0
11347103,0.03000,3, dat-reign#GON.,0.03000,0.00000,0
11297766,0.03000,4,AMGS |  MAX,0.03000,0.00000,0
11310393,0.03000,3,AMGS |  MAX,0.03000,0.00000,0
11344260,0.03400,0,JaraguaGecko#5,0.03400,0.00000,0
11319033,0.03500,0,Tran Dat,0.03500,0.00000,0
11345378,0.04000,0,Janelle pinakamaganda,0.02200,0.04000,86400
11348732,0.05000,0,JAES,0.05000,0.00000,0
11180413,0.05000,3,SoGood Gaming,0.05000,0.00000,0
11333769,0.05500,0,OneGim | Lloyd,0.05500,0.00000,0
11333649,0.06790,3,😈 Aizetsu |18| NFGz Demons,0.06790,0.00000,0
11345254,0.10000,2, yadzaxie.ron,0.10000,0.00000,0
11312852,0.11000,3,Yamete Kudasai! | JCG,0.11000,0.00000,0
11270247,0.12000,5,Joe,0.12000,0.00000,0
11279666,0.30000,3,Alricki | catJAM,0.30000,0.00000,0
11270219,0.30000,4,elpanda13,0.30000,0.00000,0
11310407,0.45000,4,<#800000>Marcelo<#3881CF> | MMC,0.45000,0.00000,0
11314343,0.50000,4,r2ro,0.50000,0.00000,0
11210917,0.50000,2,Lunacian #25550660,0.50000,0.00000,0
11333650,0.90000,2,Abe_potpot,0.90000,0.00000,0
11328912,1.00000,4,JaraguaGecko#7,10.00000,1.00000,259200
11333647,1.00000,3,Bae,0.40000,1.00000,86400
6302606,1.00900,0,Jah rahkal | R A M P A G E ,1.00900,0.00000,0
